pdd-q1-2026-ir	https://investor.pddholdings.com/news-releases/news-release-details/pdd-holdings-announces-first-quarter-2026-unaudited-financial
pdd-q1-2026-sec-6k	https://www.sec.gov/Archives/edgar/data/1737806/000110465926067186/tm2615739d1_ex99-1.htm
pdd-q1-2026-call-fool	https://www.fool.com/earnings/call-transcripts/2026/05/27/pdd-pdd-q1-2026-earnings-call-transcript/
pdd-fy2025-20f	https://investor.pddholdings.com/static-files/e15edea4-5e6d-4740-808a-63a3dd1b2ce4
reuters-marketscreener-pdd-q1	https://www.marketscreener.com/news/china-s-pdd-misses-quarterly-revenue-estimates-ce7f5ad2d08cf720
investing-goldman-pdd	https://cn.investing.com/news/analyst-ratings/article-93CH-3389643
investing-barclays-pdd	https://www.investing.com/news/analyst-ratings/barclays-cuts-pinduoduo-stock-rating-on-china-weakness-temu-losses-93CH-4714038
investing-macquarie-pdd	https://ng.investing.com/news/stock-market-news/macquarie-downgrades-pinduoduo-stock-rating-on-weak-earnings-outlook-93CH-2532609
marketbeat-nomura-pdd	https://www.marketbeat.com/instant-alerts/pdd-nasdaqpdd-stock-rating-lowered-by-nomura-2026-05-29/
investing-historical-pdd	https://ph.investing.com/equities/pinduoduo-historical-data
nbs-q1-retail-2026	https://www.stats.gov.cn/english/PressRelease/202604/t20260417_1963351.html
govcn-q1-ecommerce-2026	https://english.www.gov.cn/archive/statistics/202604/29/content_WS69f1fdd1c6d00ca5f9a0ab36.html
jd-q1-2026-official	https://ir.jd.com/zh-hans/news-releases/news-release-details/jdcom-announces-first-quarter-2026-results
alibaba-march-q-2026	https://www.businesswire.com/news/home/20260512841182/en/Alibaba-Group-Announces-March-Quarter-2026-and-Fiscal-Year-2026-Results
cbp-de-minimis	https://www.cbp.gov/newsroom/national-media-release/cbp-ready-enforce-end-de-minimis-loophole-securing-borders-and
whitehouse-de-minimis	https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet-president-donald-j-trump-closes-de-minimis-exemptions-to-combat-chinas-role-in-americas-synthetic-opioid-crisis/
cnbc-temu-de-minimis	https://www.cnbc.com/2025/05/02/temu-halts-shipments-direct-from-china-as-de-minimis-tariff-rule-ends-.html
eu-small-parcels-duty-2026	https://www.consilium.europa.eu/en/press/press-releases/2026/02/11/council-gives-final-green-light-to-new-customs-duty-rules-for-small-parcels/
